subj_id;img_id;likert;resp_time;order
s-005;im-124;3;5011;6
s-005;im-304;7;2939;7
s-005;im-130;6;4362;8
s-005;im-091;2;5307;9
s-005;im-209;1;3746;10
s-005;im-037;2;4687;11
s-005;im-140;7;3733;12
s-005;im-158;5;4979;13
s-005;im-155;6;6402;14
s-005;im-063;1;4911;15
s-005;im-204;1;4641;16
s-005;im-239;2;3740;17
s-005;im-286;1;4923;18
s-005;im-088;2;4543;19
s-005;im-178;7;5560;20
s-005;im-132;2;5200;21
s-005;im-301;2;5260;22
s-005;im-269;1;5570;23
s-005;im-116;2;5722;24
s-005;im-288;1;3534;25
s-005;im-263;6;3092;26
s-005;im-005;2;3303;27
s-005;im-067;6;6445;28
s-005;im-281;2;4290;29
s-005;im-233;2;6714;30
s-005;im-182;7;2664;31
s-005;im-024;2;5951;32
s-005;im-303;7;2205;33
s-005;im-302;6;4379;34
s-006;im-068;5;4183;1
s-006;im-047;6;4372;2
s-006;im-118;3;3955;3
s-006;im-302;1;4881;4
s-006;im-265;2;3434;5
s-006;im-167;5;4097;6
s-006;im-045;6;3008;7
s-006;im-304;7;2967;8
s-006;im-155;2;4161;9
s-006;im-041;6;3597;10
s-006;im-076;6;5328;11
s-006;im-214;1;3362;12
s-006;im-257;-1;3828;13
s-006;im-201;2;3205;14
s-006;im-131;2;4649;15
s-006;im-301;1;3970;16
s-006;im-278;2;4938;17
s-006;im-212;5;5158;18
s-006;im-223;-1;3539;19
s-006;im-189;7;3606;20
s-006;im-120;6;3939;21
s-006;im-254;2;3526;22
s-006;im-142;6;2726;23
s-006;im-116;2;4270;24
s-006;im-191;7;3494;25
s-006;im-290;3;4197;26
s-006;im-303;7;2921;27
s-006;im-238;2;4098;28
s-006;im-026;6;3459;29
s-006;im-075;6;2589;30
s-006;im-074;5;3734;31
s-006;im-132;6;3265;32
s-006;im-139;1;3646;33
s-006;im-181;7;3182;34
s-007;im-067;2;5865;1
s-007;im-026;5;7067;2
s-007;im-303;6;7642;3
s-007;im-304;7;5085;4
s-007;im-302;1;5466;5
s-007;im-228;7;5832;6
s-007;im-075;3;7115;7
s-007;im-277;2;5375;8
s-007;im-141;2;5439;9
s-007;im-126;2;5435;10
s-007;im-004;2;6827;11
s-007;im-207;4;5994;12
s-007;im-070;5;4948;13
s-007;im-258;5;4823;14
s-007;im-063;2;4872;15
s-007;im-122;5;4814;16
s-007;im-265;-1;3712;17
s-007;im-248;5;5819;18
s-007;im-170;2;3898;19
s-007;im-224;3;4929;20
s-007;im-236;5;5063;21
s-007;im-256;5;4015;22
s-007;im-301;1;4208;23
s-007;im-294;5;5150;24
s-007;im-154;5;4672;25
s-007;im-142;-1;5265;26
s-007;im-062;6;5252;27
s-007;im-185;6;6596;28
s-007;im-045;5;3958;29
s-007;im-072;5;4301;30
s-007;im-064;2;5124;31
s-007;im-068;5;4294;32
s-007;im-164;2;5031;33
s-007;im-165;7;4909;34
s-008;im-304;7;4872;1
s-008;im-051;2;4443;2
s-008;im-194;2;4273;3
s-008;im-016;1;5026;4
s-008;im-301;6;5995;5
s-008;im-175;6;5235;6
s-008;im-206;6;5186;7
s-008;im-144;1;6051;8
s-008;im-012;6;4189;9
s-008;im-251;2;6190;10
s-008;im-188;7;3743;11
s-008;im-293;-1;5068;12
s-008;im-262;7;4574;13
s-008;im-157;7;3079;14
s-008;im-265;2;4052;15
s-008;im-010;2;4488;16
s-008;im-298;1;4302;17
s-008;im-303;7;2990;18
s-008;im-140;7;4171;19
s-008;im-065;1;3759;20
s-008;im-067;2;3855;21
s-008;im-202;7;3201;22
